Score,Factor
0.18454884464686763,commercial_poi
0.04791828302107124,public_poi
0.04061414240271975,housing_Renter
0.04014171378926186,age_60-69
0.03916385604316956,ethnical_RUS
0.03636634809594513,neighborhood_level
0.03560125675030496,housing_others
0.03426728696785997,camera_surveillance
0.03262178991179762,isco_Low
0.032232660309489944,housing_Owner
0.03200805975748528,age_50-59
0.029950030695210638,continuous_urban_fabric_m2
0.02953433632077392,age_20-29
0.026226748290739166,age_40-49
0.02612170077161391,housing_buld_age_1946-1990
0.025161663899187756,industrial_commercial_m2
0.024090334135660044,age_30-39
0.02330074852767337,age_70-79
0.023134625218348265,recreation_poi
0.021946161157812664,age_0-9
