Score,Factor
0.2679039585069674,housing_Renter
0.23383888272019468,age_20-29
0.1628435481409821,commercial_poi
0.04256855145883439,age_50-59
0.03205321765808396,public_poi
0.024586343827193203,isco_Low
0.023987325326304203,age_30-39
0.018418005013891226,ethnical_RUS
0.013837637420664881,camera_surveillance
0.01340191557563092,housing_Owner
0.011564838139988518,age_40-49
0.010282070695358393,age_60-69
0.009604167776015932,trail
0.009474638250971121,age_70-79
0.008833120455256839,housing_buld_age_1946-1990
0.008373795406661853,recreation_poi
0.008198662411405372,Y
0.00756206278590985,housing_others
0.007086824769887229,neighborhood_level
0.007063526416597766,isco_High
